Allows modifications of the structure of system tables.,allow_system_table_mods
Sets the application name to be reported in statistics and logs.,application_name
Sets the shell command that will be called to archive a WAL file.,archive_command
Allows archiving of WAL files using archive_command.,archive_mode
Forces a switch to the next xlog file if a new file has not been started within N seconds.,archive_timeout
Enable input of NULL elements in arrays.,array_nulls
Sets the maximum allowed time to complete client authentication.,authentication_timeout
Starts the autovacuum subprocess.,autovacuum
"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.",autovacuum_analyze_scale_factor
"Minimum number of tuple inserts, updates, or deletes prior to analyze.",autovacuum_analyze_threshold
Age at which to autovacuum a table to prevent transaction ID wraparound.,autovacuum_freeze_max_age
Sets the maximum number of simultaneously running autovacuum worker processes.,autovacuum_max_workers
Time to sleep between autovacuum runs.,autovacuum_naptime
"Vacuum cost delay in milliseconds, for autovacuum.",autovacuum_vacuum_cost_delay
"Vacuum cost amount available before napping, for autovacuum.",autovacuum_vacuum_cost_limit
Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,autovacuum_vacuum_scale_factor
Minimum number of tuple updates or deletes prior to vacuum.,autovacuum_vacuum_threshold
"Sets whether ""\'"" is allowed in string literals.",backslash_quote
Background writer sleep time between rounds.,bgwriter_delay
Background writer maximum number of LRU pages to flush per round.,bgwriter_lru_maxpages
Multiple of the average buffer usage to free per round.,bgwriter_lru_multiplier
Shows the size of a disk block.,block_size
Enables advertising the server via Bonjour.,bonjour
Sets the Bonjour service name.,bonjour_name
Sets the output format for bytea.,bytea_output
Check function bodies during CREATE FUNCTION.,check_function_bodies
"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",checkpoint_completion_target
Sets the maximum distance in log segments between automatic WAL checkpoints.,checkpoint_segments
Sets the maximum time between automatic WAL checkpoints.,checkpoint_timeout
Enables warnings if checkpoint segments are filled more frequently than this.,checkpoint_warning
Sets the client's character set encoding.,client_encoding
Sets the message levels that are sent to the client.,client_min_messages
Sets the delay in microseconds between transaction commit and flushing WAL to disk.,commit_delay
Sets the minimum concurrent open transactions before performing commit_delay.,commit_siblings
Sets the server's main configuration file.,config_file
Enables the planner to use constraints to optimize queries.,constraint_exclusion
Sets the planner's estimate of the cost of processing each index entry during an index scan.,cpu_index_tuple_cost
Sets the planner's estimate of the cost of processing each operator or function call.,cpu_operator_cost
Sets the planner's estimate of the cost of processing each tuple (row).,cpu_tuple_cost
Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.,cursor_tuple_fraction
Shows whether data checksums are turned on for this cluster,data_checksums
Sets the server's data directory.,data_directory
Sets the display format for date and time values.,DateStyle
Enables per-database user names.,db_user_namespace
Sets the time to wait on a lock before checking for deadlock.,deadlock_timeout
Turns on various assertion checks.,debug_assertions
Indents parse and plan tree displays.,debug_pretty_print
Logs each query's parse tree.,debug_print_parse
Logs each query's execution plan.,debug_print_plan
Logs each query's rewritten parse tree.,debug_print_rewritten
Sets the default statistics target.,default_statistics_target
Sets the default tablespace to create tables and indexes in.,default_tablespace
Sets default text search configuration.,default_text_search_config
Sets the default deferrable status of new transactions.,default_transaction_deferrable
Sets the transaction isolation level of each new transaction.,default_transaction_isolation
Sets the default read-only status of new transactions.,default_transaction_read_only
Create new tables with OIDs by default.,default_with_oids
Sets the path for dynamically loadable modules.,dynamic_library_path
Sets the planner's assumption about the size of the disk cache.,effective_cache_size
Number of simultaneous requests that can be handled efficiently by the disk subsystem.,effective_io_concurrency
Enables the planner's use of bitmap-scan plans.,enable_bitmapscan
Enables the planner's use of hashed aggregation plans.,enable_hashagg
Enables the planner's use of hash join plans.,enable_hashjoin
Enables the planner's use of index-only-scan plans.,enable_indexonlyscan
Enables the planner's use of index-scan plans.,enable_indexscan
Enables the planner's use of materialization.,enable_material
Enables the planner's use of merge join plans.,enable_mergejoin
Enables the planner's use of nested-loop join plans.,enable_nestloop
Enables the planner's use of sequential-scan plans.,enable_seqscan
Enables the planner's use of explicit sort steps.,enable_sort
Enables the planner's use of TID scan plans.,enable_tidscan
Warn about backslash escapes in ordinary string literals.,escape_string_warning
Sets the application name used to identify PostgreSQL messages in the event log.,event_source
Terminate session on any error.,exit_on_error
Writes the postmaster PID to the specified file.,external_pid_file
Sets the number of digits displayed for floating-point values.,extra_float_digits
Sets the FROM-list size beyond which subqueries are not collapsed.,from_collapse_limit
Forces synchronization of updates to disk.,fsync
Writes full pages to WAL when first modified after a checkpoint.,full_page_writes
Enables genetic query optimization.,geqo
GEQO: effort is used to set the default for other GEQO parameters.,geqo_effort
GEQO: number of iterations of the algorithm.,geqo_generations
GEQO: number of individuals in the population.,geqo_pool_size
GEQO: seed for random path selection.,geqo_seed
GEQO: selective pressure within the population.,geqo_selection_bias
Sets the threshold of FROM items beyond which GEQO is used.,geqo_threshold
Sets the maximum allowed result for exact search by GIN.,gin_fuzzy_search_limit
"Sets the server's ""hba"" configuration file.",hba_file
Allows connections and queries during recovery.,hot_standby
Allows feedback from a hot standby to the primary that will avoid query conflicts.,hot_standby_feedback
"Sets the server's ""ident"" configuration file.",ident_file
Continues processing after a checksum failure.,ignore_checksum_failure
Disables reading from system indexes.,ignore_system_indexes
Datetimes are integer based.,integer_datetimes
Sets the display format for interval values.,IntervalStyle
Sets the FROM-list size beyond which JOIN constructs are not flattened.,join_collapse_limit
Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.,krb_caseins_users
Sets the location of the Kerberos server key file.,krb_server_keyfile
Sets the name of the Kerberos service.,krb_srvname
Shows the collation order locale.,lc_collate
Shows the character classification and case conversion locale.,lc_ctype
Sets the language in which messages are displayed.,lc_messages
Sets the locale for formatting monetary amounts.,lc_monetary
Sets the locale for formatting numbers.,lc_numeric
Sets the locale for formatting date and time values.,lc_time
Sets the host name or IP address(es) to listen to.,listen_addresses
Enables backward compatibility mode for privilege checks on large objects.,lo_compat_privileges
